Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m� (obesity),Prevalence of BMI>=30 kg/m� lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m� upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m� (severe obesity),Prevalence of BMI>=35 kg/m� lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m� upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m� (underweight),Prevalence of BMI<18.5 kg/m� lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m� upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m� to <20 kg/m�,Prevalence of BMI 18.5 kg/m� to <20 kg/m� lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m� to <20 kg/m� upper 95% uncertainty interval,Prevalence of BMI 20 kg/m� to <25 kg/m�,Prevalence of BMI 20 kg/m� to <25 kg/m� lower 95% uncertainty interval,Prevalence of BMI 20 kg/m� to <25 kg/m� upper 95% uncertainty interval,Prevalence of BMI 25 kg/m� to <30 kg/m�,Prevalence of BMI 25 kg/m� to <30 kg/m� lower 95% uncertainty interval,Prevalence of BMI 25 kg/m� to <30 kg/m� upper 95% uncertainty interval,Prevalence of BMI 30 kg/m� to <35 kg/m�,Prevalence of BMI 30 kg/m� to <35 kg/m� lower 95% uncertainty interval,Prevalence of BMI 30 kg/m� to <35 kg/m� upper 95% uncertainty interval,Prevalence of BMI 35 kg/m� to <40 kg/m�,Prevalence of BMI 35 kg/m� to <40 kg/m� lower 95% uncertainty interval,Prevalence of BMI 35 kg/m� to <40 kg/m� upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m�(morbid obesity),Prevalence of BMI >=40 kg/m� lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m� upper 95% uncertainty interval
Central and Eastern Europe,NA,Men,1975,24.2637851124107,23.2715520712284,25.2847454004225,0.0643466400849476,0.0400075763016572,0.0979438828638217,0.00556500146893847,0.00215132051020478,0.0120536971279458,0.0244488075584585,0.0122473572480772,0.041544768427726,0.0726004745933024,0.0453094468438089,0.10826979982123,0.515046522701528,0.43789143680349,0.587645909217247,0.323557555161764,0.255797717982292,0.399219130809921,0.0587816386160091,0.0351683292314834,0.0924969972354275,0.00510052974680075,0.00181007499695078,0.0115016735128726,0.000464471722137715,8.34829757641582e-05,0.00159490547734723
Central and Eastern Europe,NA,Men,1976,24.3255759508908,23.4130049120883,25.2632776278325,0.0670449490642156,0.0428518972873329,0.10018635077125,0.00593874337883271,0.0024281427564427,0.0124598934838796,0.0236106400090368,0.012258122068942,0.0393339725099947,0.070408547356888,0.0450010310605877,0.103765204752627,0.511613158262423,0.43925054404489,0.580849964314732,0.327322705407437,0.262230444913162,0.399302884969501,0.0611062056853829,0.0377542057670037,0.0937410102904386,0.00544274250886427,0.00206577404053907,0.0118877778863894,0.000496000869968448,9.89081836737637e-05,0.00162051743552687
Central and Eastern Europe,NA,Men,1977,24.3860326079766,23.545070309061,25.255912200435,0.0698258990031672,0.0459915481418845,0.10208158411883,0.00634257164753354,0.0027402712773268,0.0129084741871226,0.022817609972585,0.0121640223934228,0.0374179750633673,0.0683025246205097,0.044880859484541,0.0990606464221413,0.508070802916455,0.439556900999851,0.573574341825203,0.330983163587284,0.268438569056288,0.399958872293835,0.0634833273556336,0.0404568226963555,0.0948237245179132,0.00581065235169932,0.00235503569094866,0.0122390602886839,0.000531919295834223,0.000119262701465778,0.00161518218191501
Central and Eastern Europe,NA,Men,1978,24.446015219783,23.6666349928435,25.2535075454329,0.0727113874633879,0.0492350978915617,0.103704810556919,0.00678090546152817,0.00310098169660087,0.0132611290414862,0.0220565110893747,0.0121779834980167,0.0354428343124291,0.0662641426122663,0.0446430271123733,0.0946129170798614,0.504400702441357,0.43931670590211,0.566020175115028,0.334567256493614,0.275466161831873,0.400131538491843,0.0659304820018597,0.0433403664926685,0.0966273496481007,0.00620789888602305,0.0026712195928633,0.0125712396131158,0.000573006575505113,0.000143620355977348,0.00161594487887519
Central and Eastern Europe,NA,Men,1979,24.505324111638,23.7891549343442,25.2541543860231,0.075705472798305,0.0525277363338951,0.105684299072675,0.007255472249932,0.00351383565727771,0.0137544229992471,0.0213222866796443,0.0121606043801023,0.0335676545127662,0.0642838447353126,0.0442318272430014,0.0907453173902393,0.500596930895051,0.439060089378742,0.55917231958987,0.338091464991687,0.281645172710565,0.399454990145683,0.068450000548373,0.0460432646276032,0.0982392343455483,0.00663586350210983,0.00301957681973928,0.013136482678744,0.00061960874782217,0.000172387661723491,0.00167028619822812
Central and Eastern Europe,NA,Men,1980,24.5642282597722,23.8999090430058,25.2502498817372,0.0787902415379891,0.0562448967965026,0.107948248001571,0.00776490733276161,0.00396573409989226,0.014180655894951,0.0206153503724858,0.0120847414676743,0.0316863108384188,0.0623675400374077,0.0437451354603765,0.0867271126054477,0.496709976715026,0.438885362882409,0.5523571087148,0.341516891437092,0.287734637188168,0.39928208917666,0.0710253342052275,0.0490319121229074,0.0994719995610115,0.00709335374940011,0.00341227672325138,0.0136129056026529,0.000671553583361499,0.000204989984140474,0.00173345819571655
Central and Eastern Europe,NA,Men,1981,24.6212964115701,24.0011409294527,25.2596133236405,0.0818707401645878,0.0596705579645574,0.109981470472,0.00829654054537417,0.00446107829258786,0.0146694980852926,0.0199489699626895,0.0119717708326662,0.0301675845293367,0.0605545849560381,0.0432419379425232,0.083265153560282,0.492849965372078,0.438198138441975,0.54552602454738,0.344775739644607,0.293982556826258,0.39974317772984,0.0735741996192136,0.0519354531407415,0.100666768264906,0.00756859084367345,0.00382716280967886,0.0140416168897501,0.000727949701700719,0.000239236574216964,0.00179046342770517
Central and Eastern Europe,NA,Men,1982,24.6763609795166,24.0976986572329,25.2703927713906,0.0849555422622639,0.063163140506974,0.112589473277076,0.00885293746429968,0.00492341355483768,0.0151671995547796,0.0193183268182815,0.011942999112096,0.0289543055137701,0.0588232441051081,0.0426516266383009,0.0798604017365698,0.489010516917479,0.438145278335677,0.539108975841026,0.347892369996868,0.299324866396437,0.400018865152433,0.0761026047979642,0.054822209229484,0.102870138483663,0.00806341401778548,0.00426781169329622,0.0143837829642489,0.000789523446514202,0.000278952046239663,0.00185813016786463
Central and Eastern Europe,NA,Men,1983,24.7294918911539,24.1890934468362,25.2913086825605,0.0880820033963264,0.0667798461197048,0.11448483927098,0.00943962396182288,0.0054732738372776,0.0157126217384748,0.018716762085085,0.0118053542585217,0.0276741419508927,0.0571577512645659,0.0420746864728374,0.0766961487541925,0.485153182555908,0.43676442064902,0.533092475798474,0.350890300798115,0.305041724202658,0.400541230026832,0.0786423794345035,0.0577581352800041,0.104631874398393,0.00858257652551331,0.0047201675984886,0.0147471402786174,0.00085704743630957,0.000327088061689684,0.00194033100640011
Central and Eastern Europe,NA,Men,1984,24.780280826871,24.2713722490503,25.2935043711576,0.0912587606366614,0.0703770381903756,0.116783288666769,0.0100606273744584,0.00603544347872744,0.0162486675622448,0.0181441918509532,0.0117249467859653,0.0264754767765803,0.0555505382610697,0.0413941546534128,0.0736747612710501,0.481245748535914,0.436063919179317,0.526706781749989,0.353800760815402,0.310158343916624,0.400892035531757,0.081198133262203,0.0605326843719355,0.106228606411329,0.0091293694919594,0.00520826010363714,0.0151507884036573,0.000931257882498986,0.000378406052412544,0.00202495570925156
