,Country,ISO,HDIrank2017,Year,HDIvalue,Year in Text,Cut_1,Cut_2,Cut_3,Cut_4,bins,Unnamed: 0,IT.CEL.SETS.P2,EG.ELC.ACCS.ZS,IQ.CPA.PROP.XQ
0,Afghanistan,AFG,168,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,24,0.0,0.00999999977648258,
1,Albania,ALB,68,1990,0.645,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,49,0.0,100.0,
2,Algeria,DZA,85,1990,0.5770000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,74,0.001813806,98.2713775634766,
3,Andorra,AND,35,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,124,0.0,100.0,
4,Angola,AGO,147,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,149,0.0,11.397808074951199,
5,Antigua and Barbuda,ATG,70,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,174,0.0,85.1231994628906,
6,Argentina,ARG,47,1990,0.7040000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,199,0.036663904,90.6408233642578,
7,Armenia,ARM,83,1990,0.631,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,224,0.0,97.6803741455078,
8,Australia,AUS,3,1990,0.866,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,274,1.085255106,100.0,
9,Austria,AUT,20,1990,0.795,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,299,0.9541492309999999,100.0,
10,Azerbaijan,AZE,80,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,324,0.0,95.87023162841801,
11,Bahamas,BHS,54,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,349,0.749797141,90.79119873046879,
12,Bahrain,BHR,43,1990,0.746,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,374,1.037845991,,
13,Bangladesh,BGD,136,1990,0.387,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,399,0.0,8.544374465942381,
14,Barbados,BRB,58,1990,0.716,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,424,0.0,,
15,Belarus,BLR,53,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,449,0.0,100.0,
16,Belgium,BEL,17,1990,0.8059999999999999,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,474,0.42851957700000004,100.0,
17,Belize,BLZ,106,1990,0.644,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,499,0.0,87.9647369384766,
18,Benin,BEN,163,1990,0.348,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,524,0.0,7.31127214431763,
19,Bhutan,BTN,134,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,574,0.0,0.00999999977648258,
20,Bosnia and Herzegovina,BIH,77,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,624,0.0,96.88565063476558,
21,Botswana,BWA,101,1990,0.581,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,649,0.0,6.043880462646491,
22,Brazil,BRA,79,1990,0.611,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,674,0.000446596,87.475116,
23,Brunei Darussalam,BRN,39,1990,0.782,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,724,0.6847382959999999,100.0,
24,Bulgaria,BGR,51,1990,0.6940000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,749,0.0,100.0,
25,Burkina Faso,BFA,183,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,774,0.0,2.6105573177337598,
26,Burundi,BDI,185,1990,0.297,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,799,0.0,0.348627060651779,
27,Cambodia,KHM,146,1990,0.364,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,849,0.0,0.00999999977648258,
28,Cameroon,CMR,151,1990,0.44,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,874,0.0,30.1297168731689,
29,Canada,CAN,12,1990,0.8490000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,899,2.108015548,100.0,
30,Central African Republic,CAF,188,1990,0.317,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,949,0.0,0.00999999977648258,
31,Chad,TCD,186,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,974,0.0,0.00999999977648258,
32,Chile,CHL,44,1990,0.701,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,1024,0.105126576,92.257427,
33,China,CHN,86,1990,0.502,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,1049,0.001562461,92.2160110473633,
34,Colombia,COL,90,1990,0.5920000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1074,0.0,89.9,
35,Comoros,COM,165,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1099,0.0,15.299549102783198,
36,Congo,COG,137,1990,0.536,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,1149,0.0,0.00999999977648258,
37,Costa Rica,CRI,63,1990,0.6559999999999999,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1174,0.0,97.4746627807617,
38,Croatia,HRV,46,1990,0.67,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1224,0.005024734,100.0,
39,Cuba,CUB,73,1990,0.6759999999999999,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,1249,0.0,92.5219268798828,
40,Cyprus,CYP,32,1990,0.732,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,1299,0.411682066,100.0,
41,Côte d'Ivoire,CIV,170,1990,0.38799999999999996,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,1199,0.0,36.659492492675795,
42,Denmark,DNK,11,1990,0.799,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,1349,2.883032183,100.0,
43,Djibouti,DJI,172,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1374,0.0,59.6090774536133,
44,Dominica,DMA,103,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1399,0.0,66.0304336547852,
45,Dominican Republic,DOM,94,1990,0.598,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1424,0.044072321,79.59869384765629,
46,Ecuador,ECU,86,1990,0.643,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1449,0.0,88.9417495727539,
47,Egypt,EGY,115,1990,0.546,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,1474,0.006967158,93.9564666748047,
48,El Salvador,SLV,121,1990,0.529,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,1499,0.0,72.4634628295898,
49,Equatorial Guinea,GNQ,141,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1524,0.0,58.5914421081543,
50,Eritrea,ERI,179,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1549,0.0,17.8409461975098,
51,Estonia,EST,30,1990,0.733,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,1574,0.0,100.0,
52,Ethiopia,ETH,173,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1624,0.0,0.00999999977648258,
53,Fiji,FJI,92,1990,0.643,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1674,0.0,60.461788177490206,
54,Finland,FIN,15,1990,0.784,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,1699,5.161339908,100.0,
55,France,FRA,24,1990,0.779,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,1724,0.49718372299999997,100.0,
56,Gabon,GAB,110,1990,0.62,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,3,1774,0.0,64.61288452148439,
57,Gambia,GMB,174,1990,0.33299999999999996,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,1799,0.0,16.2323532104492,
58,Georgia,GEO,70,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1824,0.0,97.33401489257808,
59,Germany,DEU,5,1990,0.8009999999999999,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,1849,0.344558605,100.0,
60,Ghana,GHA,140,1990,0.455,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,1874,0.0,23.536262512207,
61,Greece,GRC,31,1990,0.753,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,1924,0.0,100.0,
62,Grenada,GRD,75,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,1974,0.15579074199999998,81.5608291625977,
63,Guatemala,GTM,127,1990,0.478,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,2024,0.003162845,60.1892013549805,
64,Guinea,GIN,175,1990,0.276,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,2049,0.0,6.42906713485718,
65,Guinea-Bissau,GNB,177,1990,,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,NaN,2074,0.0,0.00999999977648258,
66,Guyana,GUY,125,1990,0.5379999999999999,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,2099,0.0,68.21060180664061,
67,Haiti,HTI,168,1990,0.409,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,1,2124,0.0,28.001398086547898,
68,Honduras,HND,133,1990,0.506,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,2149,0.0,54.7445182800293,
69,Hungary,HUN,45,1990,0.7040000000000001,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,4,2199,0.025487463,100.0,
70,Iceland,ISL,6,1990,0.802,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,5,2224,3.924828362,100.0,
71,India,IND,130,1990,0.42700000000000005,HDI 1990,0.4126000000000001,0.5804,0.6712,0.7448,2,2249,0.0,43.291561126709006,
