,ISO,Year,IT.CEL.SETS.P2,EG.ELC.ACCS.ZS,IQ.CPA.PROP.XQ
0,AFG,2014,56.19133269,89.5,1.5
1,AFG,2013,52.96647314,67.2595520019531,1.5
2,AFG,2012,49.972753,69.1,1.5
3,AFG,2011,46.44405817,43.2220189082037,1.5
4,AFG,2010,35.46776644,42.7,1.5
5,AFG,2009,37.49420045,44.8548851013184,1.5
6,AFG,2008,28.94006019,42.4,1.5
7,AFG,2007,17.53816162,33.7486801147461,1.5
8,AFG,2006,9.733604444,28.2286128997803,1.5
9,AFG,2005,4.78644517,23.0,
10,AFG,2004,2.487667492,17.2363185882568,
11,AFG,2003,0.867120278,11.7519664764404,
12,AFG,2002,0.113740162,6.26739358901977,
13,AFG,2001,0.0,0.77653694152832,
14,AFG,2000,0.0,0.959755897521973,
15,AFG,1999,0.0,0.179634585976601,
16,AFG,1998,0.0,0.0219771377742291,
17,AFG,1997,0.0,0.00999999977648258,
18,AFG,1996,0.0,0.00999999977648258,
19,AFG,1995,0.0,0.00999999977648258,
20,AFG,1994,0.0,0.00999999977648258,
21,AFG,1993,0.0,0.00999999977648258,
22,AFG,1992,0.0,0.00999999977648258,
23,AFG,1991,0.0,0.00999999977648258,
24,AFG,1990,0.0,0.00999999977648258,
25,ALB,2014,115.0261146,100.0,
26,ALB,2013,126.2764913,100.0,
27,ALB,2012,119.8614128,100.0,
28,ALB,2011,105.9228287,100.0,
29,ALB,2010,91.56092875,100.0,
30,ALB,2009,83.16046357,100.0,
31,ALB,2008,62.16072664,100.0,
32,ALB,2007,76.80249426,100.0,
33,ALB,2006,62.53038718,100.0,3.0
34,ALB,2005,49.69649377,100.0,3.0
35,ALB,2004,40.6614872,100.0,
36,ALB,2003,35.35834883,100.0,
37,ALB,2002,27.28413234,100.0,
38,ALB,2001,12.5752304,100.0,
39,ALB,2000,0.954237228,100.0,
40,ALB,1999,0.353321505,100.0,
41,ALB,1998,0.18042638,100.0,
42,ALB,1997,0.106691117,100.0,
43,ALB,1996,0.074380026,100.0,
44,ALB,1995,0.0,100.0,
45,ALB,1994,0.0,100.0,
46,ALB,1993,0.0,100.0,
47,ALB,1992,0.0,100.0,
48,ALB,1991,0.0,100.0,
49,ALB,1990,0.0,100.0,
50,DZA,2014,110.6993263,99.2343444824219,
51,DZA,2013,103.0738842,99.1349868774414,
52,DZA,2012,99.89846096,98.7646604654583,
53,DZA,2011,96.73099824,98.9572982788086,
54,DZA,2010,90.75943977,98.8849716186523,
55,DZA,2009,92.28569753,98.8276748657227,
56,DZA,2008,77.54135852,99.3,
57,DZA,2007,80.35760912,98.7701416015625,
58,DZA,2006,62.16474285,98.7744140625,
59,DZA,2005,41.03934048,98.7966461181641,
60,DZA,2004,14.87130981,98.8307876586914,
61,DZA,2003,4.465339778,98.8707733154297,
62,DZA,2002,1.407230357,98.9105377197266,
63,DZA,2001,0.316534299,98.9440231323242,
64,DZA,2000,0.275785459,98.9651565551758,
65,DZA,1999,0.234027516,98.9678802490234,
66,DZA,1998,0.059335967,98.9476470947266,
67,DZA,1997,0.058219606,98.906005859375,
68,DZA,1996,0.039780473,98.8460083007812,
69,DZA,1995,0.01622942,98.7707138061524,
70,DZA,1994,0.004752796,98.6831893920898,
71,DZA,1993,0.017206346,98.5864791870117,
72,DZA,1992,0.017589432,98.4836578369141,
73,DZA,1991,0.018004597,98.3777694702148,
74,DZA,1990,0.001813806,98.2713775634766,
75,ASM,2014,,,
76,ASM,2013,,,
77,ASM,2012,,,
78,ASM,2011,,,
79,ASM,2010,,,
80,ASM,2009,,,
81,ASM,2008,,,
82,ASM,2007,,,
83,ASM,2006,,,
84,ASM,2005,,,
85,ASM,2004,3.796571274,,
86,ASM,2003,3.552277687,,
87,ASM,2002,3.466653045,,
88,ASM,2001,3.706059304,,
89,ASM,2000,3.463083048,,
90,ASM,1999,3.170688744,,
91,ASM,1998,2.683315146,,
92,ASM,1997,2.548188056,,
93,ASM,1996,2.41057687,,
94,ASM,1995,2.364379209,,
95,ASM,1994,2.316468158,,
96,ASM,1993,1.77444795,,
97,ASM,1992,1.411489525,,
98,ASM,1991,0.0,,
99,ASM,1990,0.0,,
100,AND,2014,83.61334461,100.0,
101,AND,2013,79.13427737,100.0,
102,AND,2012,77.47692009,100.0,
103,AND,2011,77.66355029,100.0,
104,AND,2010,77.5556845,100.0,
105,AND,2009,76.42371717,100.0,
106,AND,2008,76.55763704,100.0,
107,AND,2007,76.80297038,100.0,
108,AND,2006,85.19959008,100.0,
109,AND,2005,81.8593328,100.0,
110,AND,2004,76.5515975,100.0,
111,AND,2003,70.90951327,100.0,
112,AND,2002,46.81009008,100.0,
113,AND,2001,43.70145973,100.0,
114,AND,2000,36.00397614,100.0,
115,AND,1999,32.00248563,100.0,
116,AND,1998,22.00898008,100.0,
117,AND,1997,13.39717382,100.0,
118,AND,1996,8.527035426,100.0,
119,AND,1995,4.424432263,100.0,
120,AND,1994,1.250857571,100.0,
121,AND,1993,1.279296715,100.0,
122,AND,1992,1.307566907,100.0,
123,AND,1991,0.0,100.0,
124,AND,1990,0.0,100.0,
125,AGO,2014,52.20027766,32.0,
126,AGO,2013,51.10017793,36.9904899597168,2.0
127,AGO,2012,50.94450344,35.821964263916,2.0
128,AGO,2011,49.85108738,34.6,2.0
129,AGO,2010,40.23840253,33.514949798584,2.0
130,AGO,2009,35.9626781,32.3824691772461,2.0
131,AGO,2008,31.12838486,31.2680130004883,2.0
132,AGO,2007,23.62896447,37.5,2.0
133,AGO,2006,15.07531265,29.1036758422852,2.0
134,AGO,2005,8.239941385,28.0507354736328,2.0
135,AGO,2004,3.922459132,27.0097007751465,
136,AGO,2003,1.922721008,25.9745082855225,
137,AGO,2002,0.796692633,24.939094543457,
138,AGO,2001,0.441611172,20.0,
139,AGO,2000,0.156961981,22.843355178833,
140,AGO,1999,0.150472427,21.7709007263184,
141,AGO,1998,0.063337194,20.6754951477051,
142,AGO,1997,0.046736092,19.5586757659912,
143,AGO,1996,0.022462445,18.4235019683838,
144,AGO,1995,0.013974356,17.2730312347412,
145,AGO,1994,0.013177952,16.1103248596191,
146,AGO,1993,0.008206668,14.9384412765503,
147,AGO,1992,0.0,13.7604398727417,
148,AGO,1991,0.0,12.5793790817261,
149,AGO,1990,0.0,11.3978080749512,
150,ATG,2014,121.4068268,96.2984161376953,
151,ATG,2013,116.9017828,95.773551940918,
152,ATG,2012,131.6232163,95.2546920776367,
153,ATG,2011,183.8798985,94.5520140336941,
154,ATG,2010,177.4437202,94.2470092773438,
155,ATG,2009,144.1799083,93.7641983032227,
156,ATG,2008,147.7021562,93.2994079589844,
157,ATG,2007,122.9807071,92.8556442260742,
158,ATG,2006,122.0108304,92.4344024658203,
159,ATG,2005,96.35530458,92.2,
160,ATG,2004,61.1849485,91.639762878418,
161,ATG,2003,52.81064919,91.2542343139648,
162,ATG,2002,44.28743653,90.8684844970703,
163,ATG,2001,29.39205474,90.4764556884765,
164,ATG,2000,26.32082695,90.0720825195313,
165,ATG,1999,10.38726155,89.6492919921875,
166,ATG,1998,1.878498704,89.2035522460938,
167,ATG,1997,1.800897876,88.7364044189453,
168,ATG,1996,1.718940075,88.2508926391602,
169,ATG,1995,,87.7500915527344,
170,ATG,1994,,87.2370529174805,
171,ATG,1993,,86.7148361206055,
172,ATG,1992,,86.1865005493164,
173,ATG,1991,,85.6551055908203,
174,ATG,1990,0.0,85.1231994628906,
175,ARG,2014,142.4663975,99.9592437744141,
176,ARG,2013,158.3489275,99.8371276855469,
177,ARG,2012,152.8090976,99.5844116210938,
178,ARG,2011,145.7687913,99.2161636352539,
179,ARG,2010,138.4689785,98.82,
180,ARG,2009,128.6361343,98.3633651733398,
181,ARG,2008,115.1709326,97.9341278076172,
182,ARG,2007,101.0796712,97.5394134521484,
183,ARG,2006,79.65438363,97.1672210693359,
184,ARG,2005,56.60020383,96.8129959106445,
185,ARG,2004,34.88984757,96.4706802368164,
186,ARG,2003,20.47079124,96.1342086791992,
187,ARG,2002,17.33135177,95.7975082397461,
188,ARG,2001,17.99177877,95.5110634674458,
189,ARG,2000,17.50781462,95.0992050170898,
190,ARG,1999,10.50224257,94.7254638671875,
191,ARG,1998,7.369604921,94.3287734985352,
192,ARG,1997,5.60661589,93.9106750488281,
193,ARG,1996,1.883190256,93.4742126464844,
194,ARG,1995,1.158443077,93.0224609375,
195,ARG,1994,0.697847669,92.5584716796875,
196,ARG,1993,0.328340631,92.0853042602539,
197,ARG,1992,0.13843349,91.6060180664063,
198,ARG,1991,0.075315002,91.1236724853516,
199,ARG,1990,0.036663904,90.6408233642578,
200,ARM,2014,119.0252975,99.9889755249023,
201,ARM,2013,115.6476444,99.9540557861328,3.5
202,ARM,2012,115.2993384,99.8788757324219,3.5
203,ARM,2011,111.6718674,99.7671508789062,3.5
204,ARM,2010,134.3391104,99.8,3.5
205,ARM,2009,75.86762234,99.5198135375976,3.5
206,ARM,2008,49.58359409,99.4156494140625,3.5
207,ARM,2007,63.97460533,99.3310394287109,3.5
208,ARM,2006,42.58110529,99.2657318115234,3.5
209,ARM,2005,10.66811035,99.8,3.5
210,ARM,2004,6.775584447,99.1796951293945,
211,ARM,2003,3.790137603,99.1483154296875,
212,ARM,2002,2.351727827,98.0,
213,ARM,2001,0.836017183,100.0,
214,ARM,2000,0.569652996,98.9,
215,ARM,1999,0.264194079,98.9620666503906,
216,ARM,1998,0.251907238,98.8755035400391,
217,ARM,1997,0.159587065,98.7690277099609,
218,ARM,1996,0.009469054,98.6444702148438,
219,ARM,1995,0.0,98.5046539306641,
220,ARM,1994,0.0,98.3526000976562,
221,ARM,1993,0.0,98.1913452148438,
222,ARM,1992,0.0,98.0238952636719,
223,ARM,1991,0.0,97.8535919189453,
224,ARM,1990,0.0,97.6803741455078,
225,ABW,2014,134.5922251,94.9067230224609,
226,ABW,2013,134.5130685,94.5782623291016,
227,ABW,2012,131.6084502,94.2558135986328,
228,ABW,2011,,93.9423751831055,
229,ABW,2010,129.636369,93.3562921509542,
230,ABW,2009,126.1667964,93.3545455932617,
231,ABW,2008,119.1933145,93.086166381836,
232,ABW,2007,112.2169532,92.8388214111328,
233,ABW,2006,108.1303554,92.6139831542969,
234,ABW,2005,103.3849507,92.4071197509765,
235,ABW,2004,99.64754854,92.2121658325195,
236,ABW,2003,72.10282734,92.0230484008789,
237,ABW,2002,65.05811016,91.8337173461914,
238,ABW,2001,57.05182028,91.6380920410156,
239,ABW,2000,16.51018679,91.6603980031457,
240,ABW,1999,13.48238863,91.2037506103516,
241,ABW,1998,6.16428154,90.9544219970703,
242,ABW,1997,3.981229008,90.6836776733398,
243,ABW,1996,3.605769231,90.3945846557617,
244,ABW,1995,2.138837707,90.0901870727539,
245,ABW,1994,,89.7735595703125,
246,ABW,1993,,89.44775390625,
247,ABW,1992,0.029310471,89.1158294677734,
248,ABW,1991,0.0,88.7808456420898,
249,ABW,1990,0.0,88.4453506469727,
250,AUS,2014,106.7533735,100.0,
251,AUS,2013,107.728789,100.0,
252,AUS,2012,106.6434188,100.0,
253,AUS,2011,105.8238999,100.0,
254,AUS,2010,101.7176081,100.0,
255,AUS,2009,102.1204248,100.0,
256,AUS,2008,103.6429999,100.0,
257,AUS,2007,101.4958754,100.0,
258,AUS,2006,96.04538942,100.0,
259,AUS,2005,91.012838,100.0,
260,AUS,2004,82.61302181,100.0,
261,AUS,2003,72.83860687,100.0,
262,AUS,2002,65.05712832,100.0,
263,AUS,2001,57.77295033,100.0,
264,AUS,2000,44.90754851,100.0,
265,AUS,1999,33.47626435,100.0,
266,AUS,1998,26.34871762,100.0,
267,AUS,1997,24.78937693,100.0,
268,AUS,1996,21.83706648,100.0,
269,AUS,1995,12.40267674,100.0,
270,AUS,1994,6.8222219,100.0,
271,AUS,1993,3.901064702,100.0,
272,AUS,1992,2.842282271,100.0,
273,AUS,1991,1.687477572,100.0,
274,AUS,1990,1.085255106,100.0,
275,AUT,2014,150.0321433,100.0,
276,AUT,2013,154.7253124,100.0,
277,AUT,2012,159.5294796,100.0,
278,AUT,2011,153.9336566,100.0,
279,AUT,2010,145.5537959,100.0,
280,AUT,2009,136.6063093,100.0,
281,AUT,2008,129.7123099,100.0,
282,AUT,2007,119.2523915,100.0,
283,AUT,2006,112.0253092,100.0,
284,AUT,2005,104.9838556,100.0,
285,AUT,2004,97.26408257,100.0,
286,AUT,2003,88.96932087,100.0,
287,AUT,2002,82.8086898,100.0,
288,AUT,2001,80.77554402,100.0,
289,AUT,2000,75.80605745,100.0,
290,AUT,1999,52.79261389,100.0,
291,AUT,1998,28.51493275,100.0,
292,AUT,1997,14.43692147,100.0,
293,AUT,1996,7.467176728,100.0,
294,AUT,1995,4.800115042,100.0,
295,AUT,1994,3.500587439,100.0,
296,AUT,1993,2.798486991,100.0,
297,AUT,1992,2.202202471,100.0,
298,AUT,1991,1.484709112,100.0,
299,AUT,1990,0.954149231,100.0,
300,AZE,2014,111.0350828,100.0,
301,AZE,2013,107.9359163,100.0,
302,AZE,2012,109.2853827,99.9997100830078,
303,AZE,2011,110.6460272,99.9,
304,AZE,2010,100.7490321,99.9656753540039,3.0
305,AZE,2009,86.92028501,99.8847351074219,3.0
306,AZE,2008,74.22430613,99.7418060302734,3.0
307,AZE,2007,51.79782823,99.562141418457,3.0
308,AZE,2006,38.51013795,99.5,3.0
309,AZE,2005,26.25721341,99.2109756469727,3.0
310,AZE,2004,17.23923946,99.0534973144531,
311,AZE,2003,12.64268165,98.9018249511719,
312,AZE,2002,9.595246596,100.0,
313,AZE,2001,8.905394095,98.5917816162109,
314,AZE,2000,5.17559282,98.9082224496759,
315,AZE,1999,4.593919265,97.0,
316,AZE,1998,0.813526671,98.0276184082031,
317,AZE,1997,0.504689257,97.8145904541016,
318,AZE,1996,0.216407425,97.5674896240234,
319,AZE,1995,0.07716619,97.3050918579102,
320,AZE,1994,0.006507274,97.0304565429688,
321,AZE,1993,0.0,96.7466430664063,
322,AZE,1992,0.0,96.4567184448242,
323,AZE,1991,0.0,96.1637268066406,
324,AZE,1990,0.0,95.870231628418,
325,BHS,2014,82.38292483,100.0,
326,BHS,2013,76.07888877,99.9947357177734,
327,BHS,2012,80.63670744,99.9557952880859,
328,BHS,2011,81.51011545,99.8256530761719,
329,BHS,2010,118.7192378,99.5609893798828,
330,BHS,2009,101.1148184,99.1822662353516,
331,BHS,2008,102.6884558,98.7536849975586,
332,BHS,2007,109.2516534,98.3253021240234,
333,BHS,2006,75.33186434,97.900764465332,
334,BHS,2005,69.17894967,97.5100936889648,
335,BHS,2004,57.67193963,97.1313247680664,
336,BHS,2003,38.71086253,96.7583999633789,
337,BHS,2002,39.38419638,96.38525390625,
338,BHS,2001,19.97624821,96.065547,
339,BHS,2000,10.58242976,95.6140518188477,
340,BHS,1999,5.419794803,95.2038726806641,
341,BHS,1998,2.782872509,94.7707290649414,
342,BHS,1997,2.160504582,94.3161849975586,
343,BHS,1996,1.74354276,93.8432769775391,
344,BHS,1995,1.463501696,93.3550720214844,
345,BHS,1994,,92.8546371459961,
346,BHS,1993,0.885438755,92.3450241088867,
347,BHS,1992,0.976951461,91.8292922973633,
348,BHS,1991,0.773602537,91.3105010986328,
349,BHS,1990,0.749797141,90.7911987304688,
350,BHR,2014,174.2741117,100.0,
351,BHR,2013,168.0227701,100.0,
352,BHR,2012,163.349887,100.0,
353,BHR,2011,132.4955858,100.0,
354,BHR,2010,126.2831806,100.0,
355,BHR,2009,118.3071469,100.0,
356,BHR,2008,129.2656493,100.0,
357,BHR,2007,107.7313154,100.0,
358,BHR,2006,94.68069123,100.0,
359,BHR,2005,86.27199809,100.0,
360,BHR,2004,78.2991584,100.0,
361,BHR,2003,56.90288181,100.0,
362,BHR,2002,52.9131549,100.0,
363,BHR,2001,42.94852405,100.0,
364,BHR,2000,30.95435847,,
365,BHR,1999,20.9675671,,
366,BHR,1998,15.00125468,,
367,BHR,1997,9.840317348,,
368,BHR,1996,6.926251322,,
369,BHR,1995,4.89623008,,
370,BHR,1994,3.20531016,,
371,BHR,1993,2.118561094,,
372,BHR,1992,1.851126103,,
373,BHR,1991,1.442625524,,
374,BHR,1990,1.037845991,,
375,BGD,2014,79.58713274,62.4,3.0
376,BGD,2013,73.96847136,61.5,3.0
377,BGD,2012,62.40405769,60.8782157897949,3.0
378,BGD,2011,54.81622359,59.6,3.0
